"ID_INSUM",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"USO",0	"STOCK",1	"PROVEE",0	"ULTCOM",2	"COMENT",0
I001	COUNTER	LIBRERIA		Papel Bond 75gr A4 	XEROX	Paquete de 500 hojas	9.1	Impresión	0	Tay Loy San Luis	2000:01:01:00:00:00	Puede ser de otra marca, ya que no hay problema con la impresora actual. Usamos Xerox-Colombia  como primera opción por precio	
I035	COUNTER	SERVICIOS		Tinta impresora Epson - Color	EPSON	1 UNIDAD	40		0	Wilson - Galr.Compuplaza - 320	2000:01:01:00:00:00	Compramos Original	
I036	COUNTER	SERVICIOS		Tinta impresora Epson - Color	EPSON	1 UNIDAD	28		0	SistemaContinuo	2017:04:25:00:00:00	Original	
I037	COUNTER	SERVICIOS		Toner Compatible 78A	ALEXSYSTEM	1 UNIDAD	48		0	AlexSystem	2017:04:25:00:00:00		
I038	COUNTER	SERVICIOS		Tapas plásticas p/espiralado		( 25 unid.)	0.18	Espiralado	0	Cecygraph	2017:07:22:00:00:00	Se compran las gruesas, en color transparente, negro,rojo,morado,verde	
I039	COUNTER	SERVICIOS		Espirales(7,9,,14, 17 mm)		(25 unid.)	2		0	Cecygraph	2000:01:01:00:00:00	El precio va de 1 a 2 soles, dependiendo del calibre	
#25	COUNTER	SERVICIOS		Espiral 12mm		Paq de 25	0.052		0	Cecygraph	2017:05:05:10:10:46		
I053	COUNTER	SERVICIOS		Espiral 20mm		Paq. de 15	0		0	Cecygraph	2017:04:06:15:44:06		
I040	COUNTER	SERVICIOS		Micas (Tarjeta, Brevete)			0		0	Cecygraph	2000:01:01:00:00:00	No se tiene el precio	
I055	COUNTER	SERVICIOS		Mica A4		Paq. de 10	0.85		0	Cecygraph	2017:04:06:15:47:42	Hay gruesa y delgada. Se compra gruesa.	
I041	COUNTER	SERVICIOS		Papel fotográfico 180g	MILENIUM	Paq. de 20	6.8		0	TayLoy	2000:01:01:00:00:00		
I042	COUNTER	SERVICIOS		Papel fotográfico engomado	MILENIUM	Paq. de 20	0		0	?	2000:01:01:00:00:00		
I043	COUNTER	DESCARTABLE		Bolsa transparente de 9*14 - Celofán		Un ciento	3		0	Centro Lima	2000:01:01:00:00:00		
I044	COUNTER	DESCARTABLE		Bolsa negra de basura (20*30)		Un ciento	5	Como bolsa de basura	0	Mercado Central	2000:01:01:00:00:00		
I047	COUNTER	DESCARTABLE		Bolsa negra "piñata" (26*40)		Un ciento	10	Como bolsa de basura	0	Mercado Central	2000:01:01:00:00:00		
I045	COUNTER	DESCARTABLE		Franela		Un ciento	5		0	GalerÃ­a Felicita - ZÃ³tano/ Frente al Mercado Central	2000:01:01:00:00:00		
I046	COUNTER	EQUIPOS		Audífonos Halion T3	HALION	1 UNIDAD	15		0	Gamer Vision	2000:01:01:00:00:00		
#28	COUNTER	DESCARTABLE		Bolsa transparente 10*15		Un ciento	1	Para entregar las impresiones en A4 a los clientes	0	Un señor pasa siempre a vender	2018:04:07:13:50:50	
I049	COCINA	DESCARTABLE		Bolsa blanca T-shirt 12*16		paq. de 80	2	Cocina - Para llevar	0	Centro Lima	2000:01:01:00:00:00		
#27	COUNTER	SERVICIOS		Tapas de cartón p/espiralado		( 25 unid.)	0.16	Espiralado	0	Cecygraph	2017:07:22:18:08:56	Se en color negro,rojo,morado,verde	
I051	COCINA	DESCARTABLE		Stickers verde y rojo			0	Para poner fechas de vencimiento	0	Centro Lima	2000:01:01:00:00:00		
I052	COCINA	DESCARTABLE		Servilleta simple			0	Para cocina	0	Se compra en le mercado de Villa JardÃ­n	2000:01:01:00:00:00		
#21	COUNTER	LIBRERIA		Sobres para CD		Paquete de 100	0.04	Estuche de CD	0	Memory House	2017:02:22:00:00:00		
I054	COUNTER	SERVICIOS		Espiral 23mm		Paq. de 10	0.32		0	Cecygraph	2017:05:04:00:00:00		
#26	COUNTER	SERVICIOS		Mica Postal		Paq. de 50	0.264		0	Cecygraph	2017:05:05:10:13:57		
I050	COCINA	DESCARTABLE		Vaso Nº 9 sin tapa		Medio ciento	2.5	Para gelatinas	0	Mercado de Salamanca	2000:01:01:00:00:00	Plástico transparente	
