"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2
IMP01	COUNTER	SERVIC		Impresión B/N - A4			0	0.3	-23867	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
FOT09	COUNTER	SERVIC		Fotocopia B/N - A4 			0	0.2	-32784.6015625	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
IMP02	COUNTER	SERVIC		Impresión Color Tinta			0	0.5	-4916	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
IMP03	COUNTER	SERVIC		Impresión Color Láser - A4			0	1	116	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
REC001	COUNTER	OTRO		Recarga MOVISTAR			0	0.2	-1406	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
REC002	COUNTER	OTRO		Recarga CLARO			0	0.2	-1394	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
IMP06	COUNTER	SERVIC		Impresión Color Láser - A3			0	2	787	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
IMP04	COUNTER	SERVIC		Impresión B/N - A3			0	1	13723	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
FOT04	COUNTER	SERVIC		Fotocopia B/N - A3 			0	1	5524	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PAPEL01000	COUNTER	LIBRERIA		Papel Bond A4 (hoja)		paq. de 500	0.02	0.1	8441	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7751912148450	COUNTER	GASEOSA		Gaseosa Pepsi 500 ml			1.13333333333333	1.5	-35	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7751912148467	COUNTER	GASEOSA		7up (Seven Up) 500 ml		Paq. de 15	1.13	1.5	-113	0	1899:12:30:00:00:00	2017:02:28:00:00:00	
7753749001625	COUNTER	GASEOSA		Gaseosa Guarana 500 ml		Paq. de 15	1.2	2	-77	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750885434614	COUNTER	SNACK		Wafer Nik Costa	COSTA	Paq. de 6	0.38	0.6	-55	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750885007245	COUNTER	SNACK		Galleta Gretel			0	0.6	-9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750182000932	COUNTER	GASEOSA		Inka Cola - 410 ml			1.75	2.5	-199	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750182000895	COUNTER	GASEOSA		Coca Cola - 410 ml			1.75	2.5	-213	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
SCANER01	COUNTER	SERVIC		Scaner			0	1	1811	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750737360665	COUNTER	LIBRERIA		Folder Manila	GRAFIPAPEL	Paq. de 25 o 50	0.2	0.5	-700	0	1899:12:30:00:00:00	2017:03:02:00:00:00	
7750737360580	COUNTER	LIBRERIA		Sobre Manila	GALLO	Paq. de 50	0.18	0.5	-850	0	1899:12:30:00:00:00	2017:03:02:00:00:00	
TIPEOS01	COUNTER	SERVIC		Tipeos Simples			0	1	383	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
TIPEOS02	COUNTER	SERVIC		Tipeos Normales			0	2	998	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
BUSQUE01	COUNTER	SERVIC		Busqueda de información			0	0.5	121	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
CDS00000	COUNTER	LIBRERIA		CDs	PRINCO	paq de 50 o 100	0.4	1.5	-117	0	1899:12:30:00:00:00	2017:03:28:00:00:00	
FASTER01	COUNTER	LIBRERIA		Faster	ARTESCO	Caja de 50	0.1	0.3	-438	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750885006538	COUNTER	SNACK		Mentitas			0	0.5	-15	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750182001205	COUNTER	GASEOSA		Agua San Luís		Paq. de 15	1.13333333333333	1.5	-217	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750670000208	COUNTER	GASEOSA		Sporade Vidrio 475mL		Paq. de 12	1.67	2.5	-348	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PAPEL011	COUNTER	LIBRERIA		Papel bond A4 (hoja color)		paq de 100 (colores variados)	0	0.2	-121	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
QUEM000000	COUNTER	SERVIC		Quemado de CD (sin incluir CD)			0	2	578	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7758102001199	COUNTER	SNACK		Chicle Boogie			0	0.2	-4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754111524513	COUNTER	LIBRERIA		Lapicero 034 Medium Faber Castell	FABER CASTELL	Caja de 50	0.28	0.5	-65	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PAST1000	COUNTER	PASTELERIA		Empanada de carne			0	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PAST1200	COUNTER	PASTELERIA		Empanada de pollo			0	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754005005470	COUNTER	LIBRERIA		Cinta Scotch Pegafan 1/2'' x 25yd	PEGAFAN	Caja de 12 unid.	1	1.5	-20	0	1899:12:30:00:00:00	2017:03:28:00:00:00	
7750082208865	COUNTER	LIBRERIA		Corrector (Liquid) Artesco 9 ml 			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754807080163	COUNTER	LIBRERIA		Micas portapapales A4		paq. de 10	0.38	0.6	-232	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
#278	COUNTER	LIBRERIA		Papel Bond A3		Ciento	0	0.3	-28	0	2017:04:19:17:01:58	2017:04:19:17:01:58	
7750277072790	COUNTER	LIBRERIA		Sobre Manila Oficio	GRAPHOS	medio ciento	0.16	0.5	-1	0	1899:12:30:00:00:00	2017:04:06:00:00:00	
LAPIC001	COUNTER	LIBRERIA		Lapicero 035 Fine Faber Castell	FABER CASTELL	Caja de 50	0.36	0.8	-42	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750737360566	COUNTER	LIBRERIA		Sobre Manila Pago		Paq. de 50	0.08	0.3	-42	0	1899:12:30:00:00:00	2017:04:05:00:00:00	
7750082001572	COUNTER	LIBRERIA		Borrador blanco chico Artesco 	ARTESCO	docena o caja	0.4	0.8	-15	0	1899:12:30:00:00:00	2017:03:02:00:00:00	
LIB007000	COUNTER	LIBRERIA		Goma DAVID 23cc		Docena	0.333333333333333	0.8	-41	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7705340001115	COUNTER	LIBRERIA		Clips Wingo x Caja 100unid.			0	2.5	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
4005401548072	COUNTER	LIBRERIA		Resaltador Faber Castell		Caja de 10	2.2	3	-18	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754111856034	COUNTER	LIBRERIA		Plumón grueso FABER CASTELL	FABER CASTELL	Caja de 12	1.5	2	-19	0	1899:12:30:00:00:00	2017:05:05:00:00:00	
LIB010000	COUNTER	LIBRERIA		Tajador con depósito.			0	1.2	13	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
LIB011000	COUNTER	LIBRERIA		Tajador ARTESCO simple	ARTESCO		0.208333333333333	0.8	-4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
LIB00500	COUNTER	LIBRERIA		Vinifile		paq. de 10	1.4	2.5	-18	0	1899:12:30:00:00:00	2017:03:23:00:00:00	
ENM01	COUNTER	SERVIC		Enmicado			0	2	834	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
FOT010	COUNTER	SERVIC		Fotocopia Ampliac/Reduc. - A4			0	0.5	480	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
FAX03	COUNTER	SERVIC		Fax - Recepción			0	2	987	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
SER05	COUNTER	SERVIC		Espiralado			0	3	744	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750670008136	COUNTER	GASEOSA		Free Tea - 450mL		Paq. de 12	1.17666666666667	2	-137	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750670004947	COUNTER	GASEOSA		Cifrut 500mL		Paq. de 12	0.841666666666667	1.2	-209	0	1899:12:30:00:00:00	2017:03:02:00:00:00	
7750182001267	COUNTER	GASEOSA		Frugos Durazno en caja			0	1.5	-4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7790580199913	COUNTER	SNACK		Gomitas Ositos Mogul			0	0.6	-38	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750243040136	COUNTER	SNACK		Galleta Casino			0.53	0.8	-18	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750235688	COUNTER	GASEOSA		Agua Cielo 625mL		Paq. de 15	0.8	1.2	-619	0	1899:12:30:00:00:00	2017:03:02:00:00:00	
7750430000219	COUNTER	GASEOSA		Agua Vida 625mL		Paq. de 15	0.8	1.2	-13	0	2017:03:27:14:16:25	2017:03:27:14:16:25	
FAX00000	COUNTER	SERVIC		Fax Local			0	2	995	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
Fax01000	COUNTER	SERVIC		Fax Nacional			0	3	991	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
Fax02000	COUNTER	SERVIC		Fax Internacional			0	5	991	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750106020053	COUNTER	SNACK		Galleta Soda San Jorge		Caja de 28 unid	0.388571428571429	0.6	-41	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025007191	COUNTER	SNACK		Papitas Lays - Clásica		Paq. de 12	0.84	1.2	-145	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
001	COCINA	OTRO		OTRO - COCINA. Escriba descripción			0	10	-123	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
COD000	COCINA	OTRO		Alquiler de baño			0	1	457	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00523	COCINA	PASTELERIA		Gelatina			0	1.5	-163	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00524	COCINA	PASTELERIA		Flan 			0	2	-14	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
