"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2	"ACTIVO",0	"PROVEE",0
IMP01	COUNTER	SERVIC		Impresión B/N - A4			0	0.3	41309	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
FOT09	COUNTER	SERVIC		Fotocopia B/N - A4 			0	0.2	86934	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP02	COUNTER	SERVIC		Impresión Color Tinta			0	0.5	6691	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP03	COUNTER	SERVIC		Impresión Color Láser - A4			0	1	96	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
REC001	COUNTER	OTRO		Recarga MOVISTAR			0	0.2	571	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
REC002	COUNTER	OTRO		Recarga CLARO			0	0.2	168	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP06	COUNTER	SERVIC		Impresión Color A3			0	2	738	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP04	COUNTER	SERVIC		Impresión B/N - A3			0	1	13658.2001953125	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
FOT04	COUNTER	SERVIC		Fotocopia B/N - A3 			0	1	5524	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
CDS00000	COUNTER	LIBRERIA		CDs	PRINCO	paq de 50 o 100	0.4	1.5	21	0	1899:12:30:00:00:00	2017:03:28:00:00:00	V	
7750182000932	COUNTER	GASEOSA		Inka Cola - 410 ml		Paq. de 12	1.75	2.5	22	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750182000895	COUNTER	GASEOSA		Coca Cola - 410 ml		Paq. de 12	1.75	2.5	10	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7751912148450	COUNTER	GASEOSA		Gaseosa Pepsi 500 ml		Paq. de 15	1.26	1.5	13	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7751912148467	COUNTER	GASEOSA		7up (Seven Up) 500 ml		Paq. de 15	1.13	1.5	0	0	1899:12:30:00:00:00	2017:02:28:00:00:00	V	
7752025007191	COUNTER	SNACK		Papitas Lays - Clásica		Paq. de 12	0.84	1.2	9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7753749001625	COUNTER	GASEOSA		Gaseosa Guarana 500 ml		Paq. de 15	1.27	2	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750235688	COUNTER	GASEOSA		Agua Cielo 625mL		Paq. de 15	0.8	1.2	48	0	1899:12:30:00:00:00	2017:03:02:00:00:00	V	
#297	COUNTER	GASEOSA		Agua Cielo 1000mL		Paq de 6	1.2	1.8	31	0	2017:03:16:19:09:02	2017:03:16:19:09:02	V	
#278	COUNTER	GASEOSA		Agua Cielo 2.5L		Paq.de 6	2.4	3.2	0		2018:02:08:10:30:04	2018:02:08:10:30:04	V	
PRINCO'003478	COUNTER	LIBRERIA		DVDs		paq de 50	0.44	2	44	0	1899:12:30:00:00:00	2017:03:23:00:00:00	V	
SCANER01	COUNTER	SERVIC		Scaner			0	1	899	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750737360665	COUNTER	LIBRERIA		Folder Manila	GRAFIPAPEL	Paq. de 25 o 50	0.2	0.5	26	0	1899:12:30:00:00:00	2017:03:02:00:00:00	V	
7754005005470	COUNTER	LIBRERIA		Cinta Scotch Pegafan 1/2'' x 25yd	PEGAFAN	Caja de 12 unid.	1	1.5	5	0	1899:12:30:00:00:00	2017:03:28:00:00:00	V	
TIPEOS01	COUNTER	SERVIC		Tipeos Simples			0	1	-160	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
TIPEOS02	COUNTER	SERVIC		Tipeos Normales			0	2	831	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
8619074442351	COUNTER	LIBRERIA		corrector (Liquid) Oval		docena	0.833333333333333	1.5	8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
BUSQUE01	COUNTER	SERVIC		Busqueda de información			0	0.5	114	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
LIB00500	COUNTER	LIBRERIA		Vinifile		paq. de 10	1.4	2.5	0	0	1899:12:30:00:00:00	2017:03:23:00:00:00	V	
PAPEL01000	COUNTER	LIBRERIA		Papel Bond A4 (hoja)		paq. de 500	0.02	0.1	8202	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750182001205	COUNTER	GASEOSA		Agua San Luís		Paq. de 15	1.133333	1.5	22	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754111524513	COUNTER	LIBRERIA		Lapicero 034 Medium Faber Castell	FABER CASTELL	Caja de 50	0.28	0.5	80	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754807080163	COUNTER	LIBRERIA		Micas portapapales A4		paq. de 10	0.38	0.6	-11	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
QUEM000000	COUNTER	SERVIC		Quemado de CD (sin incluir CD)			0	2	540	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
PAPEL011	COUNTER	LIBRERIA		Papel Bond A4 (hoja color)		paq de 100 (colores variados)	0	0.2	-86	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750737360580	COUNTER	LIBRERIA		Sobre Manila	GALLO	Paq. de 50	0.18	0.5	-40	0	1899:12:30:00:00:00	2017:03:02:00:00:00	V	
LAPIC001	COUNTER	LIBRERIA		Lapicero 035 Fine Faber Castell	FABER CASTELL	Caja de 50	0.36	0.8	73	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750277072790	COUNTER	LIBRERIA		Sobre Manila Oficio	GRAPHOS	medio ciento	0.16	0.7	-9	0	1899:12:30:00:00:00	2017:04:06:00:00:00	V	
7750082001572	COUNTER	LIBRERIA		Borrador blanco chico Artesco 	ARTESCO	docena o caja	0.4	0.8	13	0	1899:12:30:00:00:00	2017:03:02:00:00:00	V	
#277	COUNTER	GASEOSA		Agua San Mateo 600mL		Paq. de 15	1.27	1.8	5	0	2017:04:07:17:45:08	2017:04:07:17:45:08	V	
7705340001115	COUNTER	LIBRERIA		Clips Wingo x Caja 100unid.			0	2.5	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
4005401548072	COUNTER	LIBRERIA		Resaltador Faber Castell		Caja de 10	2.2	3	5	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
LIB010000	COUNTER	LIBRERIA		Tajador con depósito.			0	1.2	8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754111856034	COUNTER	LIBRERIA		Plumón grueso MARKER WINNER 56	FABER CASTELL	Docena	1.5	2	1	0	1899:12:30:00:00:00	2017:05:05:00:00:00	V	
LIB010	COUNTER	LIBRERIA		Tijera naranja 		Caja de 24	0.541666666666667	1.2	21	0	1899:12:30:00:00:00	2017:04:05:00:00:00	V	
7750082207394	COUNTER	LIBRERIA		Regla Artesco 20 cm  	Artesco	docena	0.33	0.8	12	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6604933C	COUNTER	LIBRERIA		Memoria MicroSD 8 GB		docena o fracción	13	25	0	0	2017:07:11:19:11:55	2017:07:11:19:11:55	V	
7750670000208	COUNTER	GASEOSA		Sporade Vidrio 475mL		Paq. de 12	1.5	2.2	46	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6604933C_2	COUNTER	LIBRERIA		Memoria MicroSD 16 GB		docena o fracción	18	32	0	0	2017:07:11:19:13:20	2017:07:11:19:13:20	V	
ENM01	COUNTER	SERVIC		Enmicado			0	2	824	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#281	COUNTER	SERVIC		Quemado de DVD (sin incluir DVD)			0	3	498	0	2017:10:26:13:47:23	2017:10:26:13:47:23	V	
FOT010	COUNTER	SERVIC		Fotocopia Ampliac/Reduc. - A4			0	0.5	475	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750670008136	COUNTER	GASEOSA		Free Tea - 450mL		Paq. de 12	1.17666666666667	2	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#1285	COUNTER	GASEOSA		Cifrut 625mL		Paq de 15	1.28	1.5	0	0	1899:12:30:00:00:00	2017:03:02:00:00:00	V	
#1287	COUNTER	GASEOSA		Cifrut 350mL		Paq de 15	0.84	1	0		2017:12:04:15:26:53	2017:12:04:15:26:53	V	
001	COCINA	OTRO		OTRO - COCINA. Escriba descripción			0	10	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
COD000	COCINA	OTRO		Alquiler de baño			0	1	412	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00523	COCINA	PASTELERIA		Gelatina			0	1.5	-3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00524	COCINA	PASTELERIA		Flan 			0	2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7752025007788	COUNTER	SNACK		Piqueos Snack		Paq. de 12	1	1.2	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
SNACK11	COUNTER	SNACK		Tortees Clásico		Paq. de 12	1	1.2	13	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7752025006729	COUNTER	SNACK		Tortees Picante		Paq. de 12	1	1.2	12		2018:01:06:12:19:03	2018:01:06:12:19:03	V	
7372025007351	COUNTER	SNACK		Doritos			0	1	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7752025007290	COUNTER	SNACK		Cheese Tris		Paq. de 12	0.84	1	5	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6604933C_3	COUNTER	LIBRERIA		Memoria MicroSD 32 GB		docena o fracción	35	55	0	0	2017:07:11:19:14:52	2017:07:11:19:14:52	V	
7752025003758	COUNTER	SNACK		Cheetos Clásico			0.84	1	11	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00091112322	COUNTER	SNACK		Cheetos Picante			0.84	1	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
740617169836	COUNTER	LIBRERIA		Memoria USB Kingston 8GB - 101		docena o fracción	18	23	2	0	2017:03:23:12:01:27	2017:03:23:00:00:00	V	
7752025006736	COUNTER	SNACK		Chizitos Chipy Pequeño			0	0.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7752025006737	COUNTER	SNACK		Chizito Chipy Grande			0	1	5	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7752025008440	COUNTER	SNACK		Cuates pequeños			0	0.7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#280	COUNTER	SNACK		Cuates picante			0	1.2	0	0	2017:10:27:14:11:46	2017:10:27:14:11:46	V	
7752025008044	COUNTER	SNACK		Chifles - Karinto			0	1.2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7752025008679	COUNTER	SNACK		Maní Sabores Variados			0	1.2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
SNACK005	COUNTER	SNACK		Cheetos - Canchita			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#282	COUNTER	SNACK		Chicharrón Clásico - Lay		???	0	1	0	0	2017:10:25:13:50:21	2017:10:25:13:50:21	V	
859733006328	COUNTER	LIBRERIA		Memoria USB Kigston 16GB - 101		docena o fracción	19.5	28	3	0	2017:04:21:10:37:57	2017:04:21:10:37:57	V	
7750182001267	COUNTER	GASEOSA		Frugos Durazno en caja		Caja de 24	0.833333333333333	1.2	23	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
GAS002	COUNTER	GASEOSA		Fanta 400mL		Paq. de 12	1.25	2	9	0	1899:12:30:00:00:00	2017:02:28:00:00:00	V	
GAS005	COUNTER	GASEOSA		Gaseosa Aquarius			1.33	2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7622300513917	COUNTER	SNACK		Galleta Soda Field		Paq de 6	0.353333333333333	0.6	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750106020053	COUNTER	SNACK		Galleta Soda San Jorge		Caja de 28 unid	0.388571428571429	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7622300279783	COUNTER	SNACK		Galleta Vainilla Field		paq. de 6	0.52	0.7	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750168214292	COUNTER	SNACK		Galleta Chips Ahoy	NABISCO	Paq. de 6	0.85	1.2	9	0	2017:06:03:10:58:16	2017:06:03:10:58:16	V	
7622210675569	COUNTER	SNACK		Galleta ChokoSoda (Chocosoda)	Field	Paq de 6	0.608333333333333	1	5	0	2017:04:05:16:06:59	2017:04:05:16:06:59	V	
SNACK14	COUNTER	SNACK		Galleta Tentación			0.48	0.7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750885004312	COUNTER	SNACK		Galleta ChocoDonuts			0.38	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750885007245	COUNTER	SNACK		Galleta Gretel			0	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750243040136	COUNTER	SNACK		Galleta Casino			0.53	0.8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
