"ID_PROV",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMEMPRESA",0	"PRODUCTOS",0	"CONTACTO",0	"TELEFONO",0	"ENVIO",0	"DIRECCION",0	"NOTAS",0	"ULTCOMPRA",2	"ESTADO",0
01	BIENES	GASEOSA	DIVALDI S.R.L.	Gaseosas	Sr. José Peña	3267265 - 998457347	Si	Av. Mariscal Nieto Nº 288- Urb El Pino	Simplemente se le llama para hacer pedido. Él lo trae.	2016:09:22:00:00:00	ACTIVO	
02	BIENES	GASEOSA	AJE (Comercializadora CANAN SAC)	Gaseosas		2510337, 2510357	Sí	Av. Los faisanes Mz l Lt 27- Chorrillos	Se le compra Agua Cielo, Cifrut, Sporade, FreeTea y Volt, en donde tiene mejores precios (algo de 5% menos)	2016:09:22:00:00:00	ACTIVO	
#3	BIENES	SNACK-PIQUEO	PEPSICO (Snack América Latina SRL)	Piqueos		3519010 - 3519011	Sí	Av. Bolognesi 550 - Santa Anita	Pasan periódicamente a vender. Se les compra piqueos	2016:09:19:00:00:00	ACTIVO	
#4	BIENES	SNACK-PIQUEO	KARINTO (MCA Partners EIRL)	Piqueos		966501283	Sí	José Julio Morales 210 - Urb Apolo		2017:02:27:00:00:00		
33	BIENES	SNACK-DULCE	NESTLE (Via ALimenta SAC)	Chocolates, galletas Nestlé	Omar Huamán	987347421	Sí		Pasan los JUEVES a vender. Se les compra Sublime, princesa, morocha, …	2018:05:10:00:00:00	ACTIVO	
#6	BIENES	SNACK-DULCE	ARCOR (Dist. Horizontal Suma SAC)	Galletas, dulces		4312356  988565758	Sí	Jr Huaraz 2060 - Pueblo Libre	Pasan periódicamente a vender. Se les compra Fauna, Bon o Bon Grosso	2016:09:06:00:00:00	ACTIVO	
#7	BIENES	SNACK-GALLETA	INVERSIONES GLOBAL ARAUJO EIRL	Golosinas, gaseosas cervezas		223-7514 Nextel 834-2048	No	Av. Aviación 2094 - Urb Santa Catalina - La Victoria	Se le compra galletas, pero también vende yogurt.	2016:08:31:00:00:00	ACTIVO	
#8	BIENES	SNACK-GALLETA	INVERSIONES PAUL SAC	Galletas, abarrotes en general		4356699	No	Jr Inca Garcilazo de la Vega 215 - Int 1 - Urb Salamanca de Monterrico - Ate	Se le ha comprado galletas Charada. Orue, Integrales, Soda Pícaras, Margarita, Chomp, …	2000:01:01:00:00:00		
44	BIENES	SNACK-GALLETA	DISTRIBUIDORA CHIMÚ	Galletas, Gomas y Caramelos	Alessandra Castañeda (994270879)	2428481	No	Jr. Carmen 266 - Surquillo - Lima	Pasan solo los viernes y entregan el sábado	2000:01:01:00:00:00	ACTIVO
#47	BIENES	SNACK-GALLETA	WINTER (Goloplus)	Galletas, Chocolates, Refrescos	Santiago Burga	947153797	Sí		Pasan solo los miércoles	2000:01:01:00:00:00	ACTIVO
#46	BIENES	SNACK-GALLETA	NADALCO	Galletas, chocolates, caramelos, máquina de afeitar, pilas	Jhonatan Sucre	941757003	No		Pasan los miércoles y entregan el jueves. Tienen productos variados desde Máuinas de afeitar hasta cepillos	2000:01:01:00:00:00	ACTIVO
#9	BIENES	PASTELERÍA		Empanadas	Sr José Quevedo	985909195 - 4712597	Si		Se lleva las que no se vendieron.	2000:01:01:00:00:00		
