"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2	"ACTIVO",0	"PROVEE",0
IMP01	COUNTER	SERVIC		Impresión B/N - A4			0	0.3	24625	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
FOT09	COUNTER	SERVIC		Fotocopia B/N - A4 			0	0.2	65525	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP02	COUNTER	SERVIC		Impresión Color Tinta			0	0.5	8681	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP03	COUNTER	SERVIC		Impresión Color Láser - A4			0	1	9981	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
REC001	COUNTER	OTRO		Recarga MOVISTAR			0	0.2	204	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
REC002	COUNTER	OTRO		Recarga CLARO			0	0.2	-14	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP06	COUNTER	SERVIC		Impresión Color A3			0	2	719	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
IMP04	COUNTER	SERVIC		Impresión B/N - A3			0	1	13591.2001953125	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
FOT04	COUNTER	SERVIC		Fotocopia B/N - A3 			0	1	5499	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
CDS00000	COUNTER	LIBRERIA		CDs	PRINCO	paq de 50 o 100	0.4	1.5	100	0	1899:12:30:00:00:00	2017:03:28:00:00:00	V	
7750182000932	COUNTER	GASEOSA		Inka Cola - 410 ml		Paq. de 12	1.83	2.5	10	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	01
#475	COUNTER	GASEOSA		Inka Cola - 192mL (pirañita)		Paq. de 24	0.65	1	1		2018:11:26:22:02:31	2018:11:26:22:02:31	V	
#433	COUNTER	GASEOSA		Gaseosa Inka Gordita 625mL		Docena	2	3	3		2018:11:03:09:41:17	2018:11:03:09:41:17	V	
#327	COUNTER	GASEOSA		Gaseosa Inka Cola 1.5L		Paq. de 6	5.5	6	0		2018:06:29:23:47:12	2018:06:29:23:47:12	V	
#474	COUNTER	GASEOSA		Gaseosa Inka Cola 3L		Paq. de 4	9.2	11	1		2018:11:26:21:53:46	2018:11:26:21:53:46	V	
#308	COUNTER	GASEOSA		Gaseosa Inka Cola en Lata		Docena o fracción	2.9	3	0		2018:05:10:16:37:35	2018:05:10:16:37:35	F	
7752025007191	COUNTER	SNACK		Papitas Lays - Clásica		Paq. de 12	0.84	1.2	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750182000895	COUNTER	GASEOSA		Coca Cola - 410 ml		Paq. de 12	1.83	2.5	19	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	01
#476	COUNTER	GASEOSA		Coca Cola - 192mL (pirañita)		Paq. de 24	0.65	1	5		2018:11:26:22:22:20	2018:11:26:22:22:20	V	
#380	COUNTER	GASEOSA		Gaseosa Coca Cola 1.5L 		Paq. de 6	5.5	6	0		2018:10:23:17:30:59	2018:10:23:17:30:59	V	
#309	COUNTER	GASEOSA		Gaseosa Coca Cola en Lata		Docena o fracción	2.65	3	0		2018:05:10:16:38:52	2018:05:10:16:38:52	F	
7751912148450	COUNTER	GASEOSA		Gaseosa Pepsi 500 ml		Paq. de 15	1.26	1.8	14	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	01
PRINCO'003478	COUNTER	LIBRERIA		DVDs		paq de 50	0.44	2	24	0	1899:12:30:00:00:00	2017:03:23:00:00:00	V	
SCANER01	COUNTER	SERVIC		Scaner			0	1	47	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750737360665	COUNTER	LIBRERIA		Folder Manila	GRAFIPAPEL	Paq. de 25 o 50	0.2	0.5	20	0	1899:12:30:00:00:00	2017:03:02:00:00:00	V	
7754005005470	COUNTER	LIBRERIA		Cinta Scotch Pegafan 1/2'' x 25yd	PEGAFAN	Caja de 12 unid.	1	1.5	9	0	1899:12:30:00:00:00	2017:03:28:00:00:00	V	
TIPEOS01	COUNTER	SERVIC		Tipeos Simples			0	1	122	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
TIPEOS02	COUNTER	SERVIC		Tipeos Normales			0	2	633	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
8619074442351	COUNTER	LIBRERIA		corrector (Liquid) Oval		docena	0.833333333333333	1.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
BUSQUE01	COUNTER	SERVIC		Busqueda de información			0	0.5	113	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
LIB00500	COUNTER	LIBRERIA		Vinifile		paq. de 10	1.2	2	2	0	1899:12:30:00:00:00	2017:03:23:00:00:00	V	
PAPEL01000	COUNTER	LIBRERIA		Papel Bond A4 (hoja)		paq. de 500	0.02	0.1	8029	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#434	COUNTER	GASEOSA		Gaseosa Pepsi 1.5 L		Paq. de 6	3.33333333333333	4.5	0		2018:11:07:13:29:54	2018:11:07:13:29:54	V	
7754111524513	COUNTER	LIBRERIA		Lapicero 034 Medium Faber Castell	FABER CASTELL	Caja de 50	0.28	0.5	33	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754807080163	COUNTER	LIBRERIA		Micas portapapales A4		paq. de 10	0.38	0.6	9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
QUEM000000	COUNTER	SERVIC		Quemado de CD (sin incluir CD)			0	2	515	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
PAPEL011	COUNTER	LIBRERIA		Papel Bond A4 (hoja color)		paq de 100 (colores variados)	0	0.2	42	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750737360580	COUNTER	LIBRERIA		Sobre Manila	GALLO	Paq. de 50	0.18	0.5	28	0	1899:12:30:00:00:00	2017:03:02:00:00:00	V	
LAPIC001	COUNTER	LIBRERIA		Lapicero 035 Fine Faber Castell	FABER CASTELL	Caja de 50	0.36	0.8	59	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750277072790	COUNTER	LIBRERIA		Sobre Manila Oficio	GRAPHOS	medio ciento	0.16	0.7	0	0	1899:12:30:00:00:00	2017:04:06:00:00:00	V	
